,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1993-09-01,2.42,1.51,2.7639971651311157,3.241053342336264,2.393546058104312,6.7,,,0.18,,,,,-0.2999999999999998,2.37,2.7,1.57,1.77,2.840909090909083,2.9978586723768963,3.313049357674114,3.3990482664853827,,,,,,0,0,Stagflation
1993-10-01,2.33,1.44,2.752293577981657,3.0913978494623517,2.353842785198146,6.8,5.6,,0.16,,,,,-0.10000000000000053,2.42,2.73,1.51,1.7,2.7639971651311157,2.8469750889679624,3.241053342336264,3.1842818428184483,,,,1.9,,0,0,Reflation
1993-11-01,2.62,1.61,2.7445460942997935,3.1501340482573914,2.346091408591411,6.6,,,0.12,,,,,-0.20000000000000018,2.33,2.37,1.44,1.57,2.752293577981657,2.840909090909083,3.0913978494623517,3.313049357674114,,,5.6,,,0,0,Stagflation
1993-12-01,2.76,1.58,2.8109627547435068,3.141711229946531,2.1908501620543364,6.5,,,0.14,,,,,-0.20000000000000018,2.62,2.42,1.61,1.51,2.7445460942997935,2.7639971651311157,3.1501340482573914,3.241053342336264,,,,,,0,0,Stagflation
1994-01-01,2.65,1.58,2.450980392156854,2.931379080612939,1.977243051669464,6.6,3.9,,0.26,,,,,-0.20000000000000018,2.76,2.33,1.58,1.44,2.8109627547435068,2.752293577981657,3.141711229946531,3.0913978494623517,,,,5.6,,0,0,Goldilocks
1994-02-01,2.68,1.48,2.515723270440251,2.788844621513964,2.059631532384487,6.6,,,0.14,,,,,0.0,2.65,2.62,1.58,1.61,2.450980392156854,2.7445460942997935,2.931379080612939,3.1501340482573914,,,3.9,,,0,0,Stagflation
1994-03-01,3.21,1.56,2.6517794836008246,2.984084880636595,2.1313176685614943,6.5,,,0.1,,,,,0.0,2.68,2.76,1.48,1.58,2.515723270440251,2.8109627547435068,2.788844621513964,3.141711229946531,,,,,,0,0,Stagflation
1994-04-01,3.09,1.33,2.364394993045882,2.7080581241743618,1.980442741723687,6.4,5.5,,0.14,,,,,-0.1999999999999993,3.21,2.65,1.56,1.58,2.6517794836008246,2.450980392156854,2.984084880636595,2.931379080612939,,,,3.9,,0,0,Goldilocks
1994-05-01,2.86,1.16,2.288488210818307,2.7009222661396493,1.8141776908505713,6.1,,,0.22,,,,,-0.5,3.09,2.68,1.33,1.48,2.364394993045882,2.515723270440251,2.7080581241743618,2.788844621513964,,,5.5,,,0,0,Deflation
1994-06-01,3.08,1.15,2.494802494802495,2.827087442472065,2.0275575398352785,6.1,,,0.16,,,,,-0.40000000000000036,2.86,3.21,1.16,1.56,2.288488210818307,2.6517794836008246,2.7009222661396493,2.984084880636595,,,,,,0,0,Deflation
1994-07-01,2.73,1.13,2.69896193771626,2.8890347997373444,2.1857083570297586,6.1,2.4,,0.16,,,,,-0.3000000000000007,3.08,3.09,1.15,1.33,2.494802494802495,2.364394993045882,2.827087442472065,2.7080581241743618,,,,5.5,,0,0,Reflation
1994-08-01,2.51,1.02,2.900552486187835,2.814136125654443,2.2464324075494924,6.0,,,0.1,,,,,-0.09999999999999964,2.73,2.86,1.13,1.16,2.69896193771626,2.288488210818307,2.8890347997373444,2.7009222661396493,,,2.4,,,0,0,Stagflation
1994-09-01,2.82,1.0,2.965517241379323,3.00850228907783,2.2532879610043244,5.9,,,0.14,,,,,-0.1999999999999993,2.51,3.08,1.02,1.15,2.900552486187835,2.494802494802495,2.814136125654443,2.827087442472065,,,,,,0,0,Stagflation
1994-10-01,2.61,0.97,2.609890109890123,2.8683181225554133,2.1056491908989505,5.8,4.7,,0.14,,,,,-0.2999999999999998,2.82,2.73,1.0,1.13,2.965517241379323,2.69896193771626,3.00850228907783,2.8890347997373444,,,,2.4,,0,0,Reflation
1994-11-01,2.19,0.51,2.602739726027403,2.7940220922676895,2.106242469534969,5.6,,,0.14,,,,,-0.40000000000000036,2.61,2.51,0.97,1.02,2.609890109890123,2.900552486187835,2.8683181225554133,2.814136125654443,,,4.7,,,0,0,Stagflation
1994-12-01,2.16,0.15,2.597402597402576,2.5923525599481634,2.148455368851221,5.5,,,0.16,,,,,-0.40000000000000036,2.19,2.82,0.51,1.0,2.602739726027403,2.965517241379323,2.7940220922676895,3.00850228907783,,,,,,0,0,Stagflation
1995-01-01,1.6,0.34,2.8708133971291794,2.9126213592232997,2.3215047862935156,5.6,1.4,,0.26,,,,,-0.20000000000000018,2.16,2.61,0.15,0.97,2.597402597402576,2.609890109890123,2.5923525599481634,2.8683181225554133,,,,4.7,,0,0,Reflation
1995-02-01,1.28,0.43,2.862985685071595,2.9715762273901714,2.265952916844083,5.4,,,0.44,,,,,-0.1999999999999993,1.6,2.19,0.34,0.51,2.8708133971291794,2.602739726027403,2.9126213592232997,2.7940220922676895,,,1.4,,,0,0,Stagflation
1995-03-01,1.32,0.4,2.7872195785180187,2.962009014810052,2.1732866220786518,5.4,,,0.36,,,,,-0.09999999999999964,1.28,2.16,0.43,0.15,2.862985685071595,2.597402597402576,2.9715762273901714,2.5923525599481634,,,,,,0,0,Stagflation
1995-04-01,1.2,0.47,3.125000000000022,3.1511254019292556,2.320684692872832,5.8,1.2,,0.48,,,,,0.20000000000000018,1.32,1.6,0.4,0.34,2.7872195785180187,2.8708133971291794,2.962009014810052,2.9126213592232997,,,,1.4,,0,0,Reflation
1995-05-01,0.49,0.41,3.1186440677966054,3.078896728672209,2.3294156796902055,5.6,,,0.36,,,,,0.1999999999999993,1.2,1.28,0.47,0.43,3.125000000000022,2.862985685071595,3.1511254019292556,2.9715762273901714,,,1.2,,,0,0,Stagflation
1995-06-01,0.61,0.42,3.0425963488843744,3.0051150895140655,2.1804080154514516,5.6,,,0.28,,,,,0.1999999999999993,0.49,1.32,0.41,0.4,3.1186440677966054,2.7872195785180187,3.078896728672209,2.962009014810052,,,,,,0,0,Stagflation
